"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"MYS",13,2024,75671.40734272882926841,23011257.1137119713010545
"MYS",14,2024,79341.30977556792895124,47489861.242355139105565
"MYS",15,2024,4768.74963671716130478,2048515.381537514961968
"MYS",16,2024,14841.27614501515194285,8014406.854218415965534
"MYS",1,2025,19540.05448777431959367,7867902.749739178388446
"MYS",2,2025,6671.60288820945198812,4447451.141307455045756
"MYS",3,2025,17487.71536598091615872,12922206.550515031657024
"MYS",4,2025,19.28165026183363577,13235.18887718094384
"MYS",5,2025,29.87810269435059166,18581.604761612982024
"MYS",6,2025,1988.26290375598958411,801168.431676440907836
"MYS",7,2025,5488.04800256234547713,3129793.620464736789429
"MYS",8,2025,33968.50889858244260544,15416187.273458935553403
"MYS",9,2025,14637.65001894327106412,6332372.299906012803765
"MYS",10,2025,193.32390695746298359,114647.105903618783074
"MYS",11,2025,472.35749610842914178,115232.15001551424125
"MYS",12,2025,17.59537269190388890,10917.23369557812271
"MYS",13,2025,62369.40847314347343875,19439796.606880830219597
"MYS",14,2025,85875.70308301124895498,49618244.034823681236874
"MYS",15,2025,4527.56722680256563526,2240283.873326265764662
"MYS",16,2025,9966.97194095963202715,5373556.909399160426556
